"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 17 09:28:50 GMT 2025","Sun Aug 17 09:29:19 GMT 2025","29220","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Sun Aug 17 09:29:48 GMT 2025","Sun Aug 17 09:30:16 GMT 2025","27655","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"passed","Sun Aug 17 09:32:07 GMT 2025","Sun Aug 17 09:32:33 GMT 2025","25783","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"broken","Sun Aug 17 09:22:20 GMT 2025","Sun Aug 17 09:23:30 GMT 2025","70154","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"failed","Sun Aug 17 09:20:15 GMT 2025","Sun Aug 17 09:20:15 GMT 2025","547","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"passed","Sun Aug 17 09:31:41 GMT 2025","Sun Aug 17 09:32:07 GMT 2025","26026","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"passed","Sun Aug 17 09:31:11 GMT 2025","Sun Aug 17 09:31:40 GMT 2025","29715","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Sun Aug 17 09:27:51 GMT 2025","Sun Aug 17 09:28:49 GMT 2025","58502","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"broken","Sun Aug 17 09:23:36 GMT 2025","Sun Aug 17 09:24:41 GMT 2025","65201","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"passed","Sun Aug 17 09:30:16 GMT 2025","Sun Aug 17 09:30:43 GMT 2025","26695","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"broken","Sun Aug 17 09:25:45 GMT 2025","Sun Aug 17 09:26:47 GMT 2025","61744","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"broken","Sun Aug 17 09:26:47 GMT 2025","Sun Aug 17 09:27:50 GMT 2025","63289","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
"passed","Sun Aug 17 09:29:19 GMT 2025","Sun Aug 17 09:29:48 GMT 2025","28499","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Sun Aug 17 09:24:42 GMT 2025","Sun Aug 17 09:25:44 GMT 2025","62707","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"passed","Sun Aug 17 09:30:43 GMT 2025","Sun Aug 17 09:31:10 GMT 2025","27503","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Sun Aug 17 09:20:16 GMT 2025","Sun Aug 17 09:21:06 GMT 2025","50401","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"passed","Sun Aug 17 09:20:15 GMT 2025","Sun Aug 17 09:20:16 GMT 2025","515","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"broken","Sun Aug 17 09:32:33 GMT 2025","Sun Aug 17 09:33:21 GMT 2025","48103","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"broken","Sun Aug 17 09:21:06 GMT 2025","Sun Aug 17 09:22:20 GMT 2025","74064","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
