"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 08 09:35:09 GMT 2025","Fri Aug 08 09:36:07 GMT 2025","57986","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"broken","Fri Aug 08 09:30:52 GMT 2025","Fri Aug 08 09:31:57 GMT 2025","65006","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"passed","Fri Aug 08 09:38:59 GMT 2025","Fri Aug 08 09:39:24 GMT 2025","25105","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"passed","Fri Aug 08 09:28:06 GMT 2025","Fri Aug 08 09:28:22 GMT 2025","16486","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"broken","Fri Aug 08 09:28:22 GMT 2025","Fri Aug 08 09:29:34 GMT 2025","71933","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"broken","Fri Aug 08 09:29:34 GMT 2025","Fri Aug 08 09:30:45 GMT 2025","70765","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"broken","Fri Aug 08 09:39:50 GMT 2025","Fri Aug 08 09:40:38 GMT 2025","48235","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"passed","Fri Aug 08 09:38:30 GMT 2025","Fri Aug 08 09:38:58 GMT 2025","28700","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Fri Aug 08 09:28:05 GMT 2025","Fri Aug 08 09:28:06 GMT 2025","460","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"passed","Fri Aug 08 09:37:07 GMT 2025","Fri Aug 08 09:37:33 GMT 2025","26459","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"broken","Fri Aug 08 09:31:57 GMT 2025","Fri Aug 08 09:33:02 GMT 2025","64337","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"passed","Fri Aug 08 09:36:37 GMT 2025","Fri Aug 08 09:37:07 GMT 2025","29420","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Fri Aug 08 09:34:05 GMT 2025","Fri Aug 08 09:35:09 GMT 2025","63857","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
"passed","Fri Aug 08 09:28:05 GMT 2025","Fri Aug 08 09:28:05 GMT 2025","629","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"passed","Fri Aug 08 09:39:24 GMT 2025","Fri Aug 08 09:39:50 GMT 2025","25168","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Fri Aug 08 09:38:02 GMT 2025","Fri Aug 08 09:38:29 GMT 2025","27804","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Fri Aug 08 09:37:34 GMT 2025","Fri Aug 08 09:38:01 GMT 2025","27335","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"broken","Fri Aug 08 09:33:02 GMT 2025","Fri Aug 08 09:34:04 GMT 2025","62224","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"passed","Fri Aug 08 09:36:08 GMT 2025","Fri Aug 08 09:36:37 GMT 2025","28936","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
