"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 18 09:34:15 GMT 2025","Fri Jul 18 09:34:43 GMT 2025","28225","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"broken","Fri Jul 18 09:32:13 GMT 2025","Fri Jul 18 09:33:16 GMT 2025","63171","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
"broken","Fri Jul 18 09:30:08 GMT 2025","Fri Jul 18 09:31:10 GMT 2025","62237","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"broken","Fri Jul 18 09:27:46 GMT 2025","Fri Jul 18 09:28:56 GMT 2025","69981","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"passed","Fri Jul 18 09:35:13 GMT 2025","Fri Jul 18 09:35:38 GMT 2025","25385","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"broken","Fri Jul 18 09:26:37 GMT 2025","Fri Jul 18 09:27:46 GMT 2025","69130","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"passed","Fri Jul 18 09:37:00 GMT 2025","Fri Jul 18 09:37:25 GMT 2025","24700","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"broken","Fri Jul 18 09:33:17 GMT 2025","Fri Jul 18 09:34:14 GMT 2025","57510","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"passed","Fri Jul 18 09:26:18 GMT 2025","Fri Jul 18 09:26:37 GMT 2025","18627","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"passed","Fri Jul 18 09:34:44 GMT 2025","Fri Jul 18 09:35:12 GMT 2025","28512","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Fri Jul 18 09:36:32 GMT 2025","Fri Jul 18 09:37:00 GMT 2025","27834","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Fri Jul 18 09:31:11 GMT 2025","Fri Jul 18 09:32:13 GMT 2025","62071","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"passed","Fri Jul 18 09:26:18 GMT 2025","Fri Jul 18 09:26:18 GMT 2025","848","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"broken","Fri Jul 18 09:29:03 GMT 2025","Fri Jul 18 09:30:07 GMT 2025","64286","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"passed","Fri Jul 18 09:26:17 GMT 2025","Fri Jul 18 09:26:18 GMT 2025","937","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"passed","Fri Jul 18 09:37:26 GMT 2025","Fri Jul 18 09:37:51 GMT 2025","25766","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Fri Jul 18 09:36:06 GMT 2025","Fri Jul 18 09:36:32 GMT 2025","26177","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"broken","Fri Jul 18 09:37:52 GMT 2025","Fri Jul 18 09:38:40 GMT 2025","47948","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"passed","Fri Jul 18 09:35:38 GMT 2025","Fri Jul 18 09:36:05 GMT 2025","26846","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
