"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 14 09:21:39 GMT 2025","Wed May 14 09:21:59 GMT 2025","19995","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"passed","Wed May 14 09:21:38 GMT 2025","Wed May 14 09:21:39 GMT 2025","586","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"passed","Wed May 14 09:23:19 GMT 2025","Wed May 14 09:23:42 GMT 2025","22565","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"broken","Wed May 14 09:24:57 GMT 2025","Wed May 14 09:25:23 GMT 2025","26041","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Wed May 14 09:22:28 GMT 2025","Wed May 14 09:22:56 GMT 2025","27633","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"broken","Wed May 14 09:21:59 GMT 2025","Wed May 14 09:22:07 GMT 2025","8236","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"passed","Wed May 14 09:25:23 GMT 2025","Wed May 14 09:25:49 GMT 2025","25815","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"passed","Wed May 14 09:26:46 GMT 2025","Wed May 14 09:27:13 GMT 2025","27210","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Wed May 14 09:26:18 GMT 2025","Wed May 14 09:26:46 GMT 2025","27490","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Wed May 14 09:27:39 GMT 2025","Wed May 14 09:28:05 GMT 2025","25467","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Wed May 14 09:24:05 GMT 2025","Wed May 14 09:24:29 GMT 2025","24224","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"passed","Wed May 14 09:27:14 GMT 2025","Wed May 14 09:27:39 GMT 2025","25354","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_most_popular",""
"broken","Wed May 14 09:24:30 GMT 2025","Wed May 14 09:24:56 GMT 2025","26767","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Wed May 14 09:21:37 GMT 2025","Wed May 14 09:21:38 GMT 2025","942","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"passed","Wed May 14 09:25:49 GMT 2025","Wed May 14 09:26:18 GMT 2025","28201","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Wed May 14 09:23:42 GMT 2025","Wed May 14 09:24:05 GMT 2025","22315","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
"broken","Wed May 14 09:22:07 GMT 2025","Wed May 14 09:22:17 GMT 2025","9297","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"passed","Wed May 14 09:28:05 GMT 2025","Wed May 14 09:28:32 GMT 2025","26936","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"passed","Wed May 14 09:22:56 GMT 2025","Wed May 14 09:23:19 GMT 2025","22694","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
