"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 12 09:28:05 GMT 2025","Tue Aug 12 09:29:08 GMT 2025","63002","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"passed","Tue Aug 12 09:32:44 GMT 2025","Tue Aug 12 09:33:14 GMT 2025","29854","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Tue Aug 12 09:33:14 GMT 2025","Tue Aug 12 09:33:40 GMT 2025","25446","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"broken","Tue Aug 12 09:29:08 GMT 2025","Tue Aug 12 09:30:11 GMT 2025","62200","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"broken","Tue Aug 12 09:25:46 GMT 2025","Tue Aug 12 09:26:56 GMT 2025","69387","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"broken","Tue Aug 12 09:36:04 GMT 2025","Tue Aug 12 09:36:53 GMT 2025","49375","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"passed","Tue Aug 12 09:33:40 GMT 2025","Tue Aug 12 09:34:09 GMT 2025","28665","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Tue Aug 12 09:24:18 GMT 2025","Tue Aug 12 09:24:18 GMT 2025","602","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"passed","Tue Aug 12 09:34:38 GMT 2025","Tue Aug 12 09:35:07 GMT 2025","28668","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Tue Aug 12 09:31:15 GMT 2025","Tue Aug 12 09:32:15 GMT 2025","59576","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"passed","Tue Aug 12 09:35:35 GMT 2025","Tue Aug 12 09:36:03 GMT 2025","28009","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Tue Aug 12 09:34:09 GMT 2025","Tue Aug 12 09:34:38 GMT 2025","28530","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Tue Aug 12 09:35:07 GMT 2025","Tue Aug 12 09:35:35 GMT 2025","27379","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"broken","Tue Aug 12 09:27:01 GMT 2025","Tue Aug 12 09:28:04 GMT 2025","63599","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"passed","Tue Aug 12 09:24:18 GMT 2025","Tue Aug 12 09:24:19 GMT 2025","506","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"passed","Tue Aug 12 09:24:19 GMT 2025","Tue Aug 12 09:24:37 GMT 2025","17859","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"broken","Tue Aug 12 09:24:37 GMT 2025","Tue Aug 12 09:25:46 GMT 2025","69538","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"broken","Tue Aug 12 09:30:11 GMT 2025","Tue Aug 12 09:31:15 GMT 2025","63798","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
"passed","Tue Aug 12 09:32:16 GMT 2025","Tue Aug 12 09:32:44 GMT 2025","28191","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
