"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 25 09:36:54 GMT 2025","Fri Jul 25 09:37:21 GMT 2025","27127","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Fri Jul 25 09:30:25 GMT 2025","Fri Jul 25 09:31:29 GMT 2025","64566","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"broken","Fri Jul 25 09:27:52 GMT 2025","Fri Jul 25 09:29:03 GMT 2025","70185","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"broken","Fri Jul 25 09:32:33 GMT 2025","Fri Jul 25 09:33:35 GMT 2025","62600","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
"passed","Fri Jul 25 09:34:34 GMT 2025","Fri Jul 25 09:35:01 GMT 2025","27395","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Fri Jul 25 09:37:22 GMT 2025","Fri Jul 25 09:37:47 GMT 2025","25496","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"broken","Fri Jul 25 09:29:18 GMT 2025","Fri Jul 25 09:30:24 GMT 2025","66497","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"passed","Fri Jul 25 09:27:02 GMT 2025","Fri Jul 25 09:27:52 GMT 2025","49984","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"passed","Fri Jul 25 09:35:32 GMT 2025","Fri Jul 25 09:35:59 GMT 2025","26386","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"passed","Fri Jul 25 09:26:15 GMT 2025","Fri Jul 25 09:27:02 GMT 2025","47052","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"broken","Fri Jul 25 09:31:30 GMT 2025","Fri Jul 25 09:32:32 GMT 2025","62373","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"passed","Fri Jul 25 09:36:27 GMT 2025","Fri Jul 25 09:36:54 GMT 2025","26564","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Fri Jul 25 09:37:48 GMT 2025","Fri Jul 25 09:38:14 GMT 2025","26089","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Fri Jul 25 09:35:02 GMT 2025","Fri Jul 25 09:35:31 GMT 2025","29192","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Fri Jul 25 09:33:36 GMT 2025","Fri Jul 25 09:34:34 GMT 2025","57802","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"broken","Fri Jul 25 09:38:14 GMT 2025","Fri Jul 25 09:39:02 GMT 2025","48072","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"passed","Fri Jul 25 09:26:14 GMT 2025","Fri Jul 25 09:26:15 GMT 2025","787","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"passed","Fri Jul 25 09:35:59 GMT 2025","Fri Jul 25 09:36:27 GMT 2025","27597","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Fri Jul 25 09:26:15 GMT 2025","Fri Jul 25 09:26:15 GMT 2025","688","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
