"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 05 09:23:51 GMT 2025","Sat Jul 05 09:24:55 GMT 2025","63595","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"passed","Sat Jul 05 09:29:28 GMT 2025","Sat Jul 05 09:29:56 GMT 2025","27215","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Sat Jul 05 09:31:17 GMT 2025","Sat Jul 05 09:31:45 GMT 2025","27872","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Sat Jul 05 09:28:01 GMT 2025","Sat Jul 05 09:28:29 GMT 2025","28487","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Sat Jul 05 09:30:24 GMT 2025","Sat Jul 05 09:30:51 GMT 2025","27255","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Sat Jul 05 09:29:56 GMT 2025","Sat Jul 05 09:30:24 GMT 2025","27608","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Sat Jul 05 09:30:52 GMT 2025","Sat Jul 05 09:31:17 GMT 2025","25071","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"broken","Sat Jul 05 09:20:19 GMT 2025","Sat Jul 05 09:21:28 GMT 2025","69217","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"broken","Sat Jul 05 09:22:43 GMT 2025","Sat Jul 05 09:23:51 GMT 2025","67094","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"passed","Sat Jul 05 09:20:00 GMT 2025","Sat Jul 05 09:20:19 GMT 2025","18738","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"passed","Sat Jul 05 09:19:59 GMT 2025","Sat Jul 05 09:20:00 GMT 2025","886","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"passed","Sat Jul 05 09:29:02 GMT 2025","Sat Jul 05 09:29:28 GMT 2025","25555","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"passed","Sat Jul 05 09:19:58 GMT 2025","Sat Jul 05 09:19:59 GMT 2025","977","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"broken","Sat Jul 05 09:27:02 GMT 2025","Sat Jul 05 09:28:00 GMT 2025","57703","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"passed","Sat Jul 05 09:28:29 GMT 2025","Sat Jul 05 09:29:02 GMT 2025","32591","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Sat Jul 05 09:24:55 GMT 2025","Sat Jul 05 09:25:58 GMT 2025","62948","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"broken","Sat Jul 05 09:25:59 GMT 2025","Sat Jul 05 09:27:02 GMT 2025","63178","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
"broken","Sat Jul 05 09:31:45 GMT 2025","Sat Jul 05 09:32:33 GMT 2025","47868","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"broken","Sat Jul 05 09:21:28 GMT 2025","Sat Jul 05 09:22:38 GMT 2025","70217","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
