"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 01 09:33:18 GMT 2025","Tue Jul 01 09:33:46 GMT 2025","28183","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"broken","Tue Jul 01 09:31:17 GMT 2025","Tue Jul 01 09:32:20 GMT 2025","62775","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
"broken","Tue Jul 01 09:29:12 GMT 2025","Tue Jul 01 09:30:14 GMT 2025","62116","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"broken","Tue Jul 01 09:28:02 GMT 2025","Tue Jul 01 09:29:11 GMT 2025","69689","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"broken","Tue Jul 01 09:26:45 GMT 2025","Tue Jul 01 09:27:54 GMT 2025","69027","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"passed","Tue Jul 01 09:33:47 GMT 2025","Tue Jul 01 09:34:16 GMT 2025","29042","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Tue Jul 01 09:24:43 GMT 2025","Tue Jul 01 09:25:30 GMT 2025","46928","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"broken","Tue Jul 01 09:32:20 GMT 2025","Tue Jul 01 09:33:18 GMT 2025","57400","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"passed","Tue Jul 01 09:36:32 GMT 2025","Tue Jul 01 09:36:57 GMT 2025","25254","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Tue Jul 01 09:24:42 GMT 2025","Tue Jul 01 09:24:43 GMT 2025","544","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"passed","Tue Jul 01 09:36:06 GMT 2025","Tue Jul 01 09:36:31 GMT 2025","25130","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"passed","Tue Jul 01 09:34:16 GMT 2025","Tue Jul 01 09:34:41 GMT 2025","25156","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"broken","Tue Jul 01 09:25:30 GMT 2025","Tue Jul 01 09:26:45 GMT 2025","75451","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"broken","Tue Jul 01 09:30:15 GMT 2025","Tue Jul 01 09:31:16 GMT 2025","61951","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"passed","Tue Jul 01 09:35:10 GMT 2025","Tue Jul 01 09:35:36 GMT 2025","26106","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Tue Jul 01 09:34:42 GMT 2025","Tue Jul 01 09:35:09 GMT 2025","27147","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Tue Jul 01 09:24:41 GMT 2025","Tue Jul 01 09:24:42 GMT 2025","951","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"broken","Tue Jul 01 09:36:57 GMT 2025","Tue Jul 01 09:37:45 GMT 2025","48168","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"passed","Tue Jul 01 09:35:37 GMT 2025","Tue Jul 01 09:36:06 GMT 2025","28759","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
