"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 09:32:01 GMT 2025","Tue Oct 21 09:32:28 GMT 2025","27259","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Tue Oct 21 09:32:56 GMT 2025","Tue Oct 21 09:33:23 GMT 2025","27383","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Tue Oct 21 09:29:33 GMT 2025","Tue Oct 21 09:30:32 GMT 2025","58208","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"broken","Tue Oct 21 09:34:15 GMT 2025","Tue Oct 21 09:35:05 GMT 2025","49109","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"passed","Tue Oct 21 09:22:31 GMT 2025","Tue Oct 21 09:22:32 GMT 2025","709","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"passed","Tue Oct 21 09:33:49 GMT 2025","Tue Oct 21 09:34:15 GMT 2025","26141","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Tue Oct 21 09:22:32 GMT 2025","Tue Oct 21 09:22:47 GMT 2025","15083","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"passed","Tue Oct 21 09:31:01 GMT 2025","Tue Oct 21 09:31:30 GMT 2025","29268","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Tue Oct 21 09:23:56 GMT 2025","Tue Oct 21 09:25:06 GMT 2025","69680","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"passed","Tue Oct 21 09:30:32 GMT 2025","Tue Oct 21 09:31:00 GMT 2025","28159","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"failed","Tue Oct 21 09:22:30 GMT 2025","Tue Oct 21 09:22:31 GMT 2025","768","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"passed","Tue Oct 21 09:33:24 GMT 2025","Tue Oct 21 09:33:49 GMT 2025","24856","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"passed","Tue Oct 21 09:31:30 GMT 2025","Tue Oct 21 09:32:01 GMT 2025","30559","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"broken","Tue Oct 21 09:26:19 GMT 2025","Tue Oct 21 09:27:24 GMT 2025","64422","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"broken","Tue Oct 21 09:25:15 GMT 2025","Tue Oct 21 09:26:19 GMT 2025","64507","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"broken","Tue Oct 21 09:27:24 GMT 2025","Tue Oct 21 09:28:27 GMT 2025","63152","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"passed","Tue Oct 21 09:32:29 GMT 2025","Tue Oct 21 09:32:56 GMT 2025","27105","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"broken","Tue Oct 21 09:22:47 GMT 2025","Tue Oct 21 09:23:56 GMT 2025","69208","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"broken","Tue Oct 21 09:28:28 GMT 2025","Tue Oct 21 09:29:33 GMT 2025","65078","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
