"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 13 09:32:15 GMT 2025","Sun Jul 13 09:32:41 GMT 2025","25609","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Sun Jul 13 09:22:31 GMT 2025","Sun Jul 13 09:22:48 GMT 2025","17006","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"broken","Sun Jul 13 09:22:48 GMT 2025","Sun Jul 13 09:23:57 GMT 2025","69167","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"passed","Sun Jul 13 09:31:23 GMT 2025","Sun Jul 13 09:31:49 GMT 2025","26212","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"passed","Sun Jul 13 09:31:49 GMT 2025","Sun Jul 13 09:32:15 GMT 2025","25668","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Sun Jul 13 09:32:41 GMT 2025","Sun Jul 13 09:33:09 GMT 2025","27277","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Sun Jul 13 09:26:17 GMT 2025","Sun Jul 13 09:27:20 GMT 2025","63054","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"broken","Sun Jul 13 09:28:23 GMT 2025","Sun Jul 13 09:29:26 GMT 2025","62954","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
"passed","Sun Jul 13 09:30:54 GMT 2025","Sun Jul 13 09:31:22 GMT 2025","27764","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Sun Jul 13 09:22:30 GMT 2025","Sun Jul 13 09:22:30 GMT 2025","836","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"broken","Sun Jul 13 09:34:01 GMT 2025","Sun Jul 13 09:34:49 GMT 2025","48557","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"passed","Sun Jul 13 09:22:30 GMT 2025","Sun Jul 13 09:22:31 GMT 2025","509","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"passed","Sun Jul 13 09:33:09 GMT 2025","Sun Jul 13 09:33:33 GMT 2025","24210","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"broken","Sun Jul 13 09:27:21 GMT 2025","Sun Jul 13 09:28:23 GMT 2025","61961","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"passed","Sun Jul 13 09:30:25 GMT 2025","Sun Jul 13 09:30:54 GMT 2025","29438","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Sun Jul 13 09:33:34 GMT 2025","Sun Jul 13 09:34:00 GMT 2025","26789","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"broken","Sun Jul 13 09:29:27 GMT 2025","Sun Jul 13 09:30:24 GMT 2025","57272","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"broken","Sun Jul 13 09:23:57 GMT 2025","Sun Jul 13 09:25:06 GMT 2025","69190","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"broken","Sun Jul 13 09:25:12 GMT 2025","Sun Jul 13 09:26:17 GMT 2025","64979","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
