"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 12 09:27:53 GMT 2025","Thu Jun 12 09:28:59 GMT 2025","66236","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
"broken","Thu Jun 12 09:22:13 GMT 2025","Thu Jun 12 09:23:24 GMT 2025","71133","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"broken","Thu Jun 12 09:26:50 GMT 2025","Thu Jun 12 09:27:52 GMT 2025","62151","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"broken","Thu Jun 12 09:29:00 GMT 2025","Thu Jun 12 09:29:58 GMT 2025","58887","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"passed","Thu Jun 12 09:21:55 GMT 2025","Thu Jun 12 09:21:56 GMT 2025","847","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"broken","Thu Jun 12 09:25:47 GMT 2025","Thu Jun 12 09:26:50 GMT 2025","62923","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"broken","Thu Jun 12 09:23:24 GMT 2025","Thu Jun 12 09:24:35 GMT 2025","70839","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"passed","Thu Jun 12 09:21:56 GMT 2025","Thu Jun 12 09:21:56 GMT 2025","447","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"passed","Thu Jun 12 09:31:53 GMT 2025","Thu Jun 12 09:32:22 GMT 2025","29261","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Thu Jun 12 09:32:52 GMT 2025","Thu Jun 12 09:33:21 GMT 2025","29402","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"passed","Thu Jun 12 09:30:27 GMT 2025","Thu Jun 12 09:30:58 GMT 2025","31283","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Thu Jun 12 09:29:59 GMT 2025","Thu Jun 12 09:30:26 GMT 2025","27144","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"broken","Thu Jun 12 09:33:52 GMT 2025","Thu Jun 12 09:34:41 GMT 2025","48812","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"passed","Thu Jun 12 09:30:58 GMT 2025","Thu Jun 12 09:31:25 GMT 2025","26618","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"passed","Thu Jun 12 09:31:25 GMT 2025","Thu Jun 12 09:31:53 GMT 2025","27230","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Thu Jun 12 09:21:56 GMT 2025","Thu Jun 12 09:22:13 GMT 2025","17059","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"passed","Thu Jun 12 09:32:23 GMT 2025","Thu Jun 12 09:32:52 GMT 2025","29060","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Thu Jun 12 09:24:42 GMT 2025","Thu Jun 12 09:25:46 GMT 2025","64084","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"passed","Thu Jun 12 09:33:22 GMT 2025","Thu Jun 12 09:33:52 GMT 2025","29992","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
