"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 09 09:35:12 GMT 2025","Wed Jul 09 09:35:39 GMT 2025","27185","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Wed Jul 09 09:36:36 GMT 2025","Wed Jul 09 09:37:03 GMT 2025","26481","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"broken","Wed Jul 09 09:37:03 GMT 2025","Wed Jul 09 09:37:51 GMT 2025","48118","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"broken","Wed Jul 09 09:25:31 GMT 2025","Wed Jul 09 09:26:41 GMT 2025","69708","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"passed","Wed Jul 09 09:34:18 GMT 2025","Wed Jul 09 09:34:44 GMT 2025","25438","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"broken","Wed Jul 09 09:29:07 GMT 2025","Wed Jul 09 09:30:13 GMT 2025","66497","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"passed","Wed Jul 09 09:24:46 GMT 2025","Wed Jul 09 09:24:47 GMT 2025","574","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"passed","Wed Jul 09 09:33:47 GMT 2025","Wed Jul 09 09:34:18 GMT 2025","31069","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Wed Jul 09 09:26:41 GMT 2025","Wed Jul 09 09:27:53 GMT 2025","71526","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"broken","Wed Jul 09 09:31:16 GMT 2025","Wed Jul 09 09:32:19 GMT 2025","62702","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
"broken","Wed Jul 09 09:32:19 GMT 2025","Wed Jul 09 09:33:18 GMT 2025","58360","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"broken","Wed Jul 09 09:28:01 GMT 2025","Wed Jul 09 09:29:06 GMT 2025","65350","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"passed","Wed Jul 09 09:35:40 GMT 2025","Wed Jul 09 09:36:10 GMT 2025","29900","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Wed Jul 09 09:24:47 GMT 2025","Wed Jul 09 09:24:48 GMT 2025","920","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"passed","Wed Jul 09 09:24:48 GMT 2025","Wed Jul 09 09:25:31 GMT 2025","43411","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"passed","Wed Jul 09 09:36:10 GMT 2025","Wed Jul 09 09:36:36 GMT 2025","26018","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"passed","Wed Jul 09 09:34:44 GMT 2025","Wed Jul 09 09:35:12 GMT 2025","27402","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Wed Jul 09 09:33:18 GMT 2025","Wed Jul 09 09:33:47 GMT 2025","28261","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"broken","Wed Jul 09 09:30:14 GMT 2025","Wed Jul 09 09:31:16 GMT 2025","61935","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
