"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 06 09:23:44 GMT 2025","Sat Sep 06 09:24:12 GMT 2025","27213","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"passed","Sat Sep 06 09:20:56 GMT 2025","Sat Sep 06 09:21:18 GMT 2025","22479","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"passed","Sat Sep 06 09:25:37 GMT 2025","Sat Sep 06 09:26:01 GMT 2025","23664","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"broken","Sat Sep 06 09:18:03 GMT 2025","Sat Sep 06 09:19:14 GMT 2025","70441","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"passed","Sat Sep 06 09:25:07 GMT 2025","Sat Sep 06 09:25:37 GMT 2025","29562","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Sat Sep 06 09:21:19 GMT 2025","Sat Sep 06 09:21:41 GMT 2025","22320","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"broken","Sat Sep 06 09:22:56 GMT 2025","Sat Sep 06 09:23:44 GMT 2025","48500","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"failed","Sat Sep 06 09:17:18 GMT 2025","Sat Sep 06 09:17:18 GMT 2025","612","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"passed","Sat Sep 06 09:26:01 GMT 2025","Sat Sep 06 09:26:26 GMT 2025","25351","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Sat Sep 06 09:22:04 GMT 2025","Sat Sep 06 09:22:28 GMT 2025","23662","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"passed","Sat Sep 06 09:24:39 GMT 2025","Sat Sep 06 09:25:07 GMT 2025","27568","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Sat Sep 06 09:20:30 GMT 2025","Sat Sep 06 09:20:56 GMT 2025","25851","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"passed","Sat Sep 06 09:17:19 GMT 2025","Sat Sep 06 09:18:03 GMT 2025","44562","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"passed","Sat Sep 06 09:21:41 GMT 2025","Sat Sep 06 09:22:04 GMT 2025","22263","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
"passed","Sat Sep 06 09:24:12 GMT 2025","Sat Sep 06 09:24:39 GMT 2025","26724","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Sat Sep 06 09:22:28 GMT 2025","Sat Sep 06 09:22:55 GMT 2025","27176","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Sat Sep 06 09:17:18 GMT 2025","Sat Sep 06 09:17:19 GMT 2025","532","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"broken","Sat Sep 06 09:19:14 GMT 2025","Sat Sep 06 09:20:23 GMT 2025","69375","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"passed","Sat Sep 06 09:26:27 GMT 2025","Sat Sep 06 09:26:53 GMT 2025","26484","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
