"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 05 09:28:39 GMT 2025","Tue Aug 05 09:28:40 GMT 2025","635","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"passed","Tue Aug 05 09:40:18 GMT 2025","Tue Aug 05 09:40:44 GMT 2025","25440","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"passed","Tue Aug 05 09:28:40 GMT 2025","Tue Aug 05 09:29:31 GMT 2025","50989","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"broken","Tue Aug 05 09:30:43 GMT 2025","Tue Aug 05 09:31:54 GMT 2025","70257","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"broken","Tue Aug 05 09:31:59 GMT 2025","Tue Aug 05 09:33:06 GMT 2025","66658","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"passed","Tue Aug 05 09:39:17 GMT 2025","Tue Aug 05 09:39:47 GMT 2025","29952","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"passed","Tue Aug 05 09:38:47 GMT 2025","Tue Aug 05 09:39:16 GMT 2025","29792","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"broken","Tue Aug 05 09:41:12 GMT 2025","Tue Aug 05 09:42:01 GMT 2025","49052","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"broken","Tue Aug 05 09:29:31 GMT 2025","Tue Aug 05 09:30:43 GMT 2025","72152","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"broken","Tue Aug 05 09:36:17 GMT 2025","Tue Aug 05 09:37:15 GMT 2025","58077","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
"passed","Tue Aug 05 09:38:19 GMT 2025","Tue Aug 05 09:38:46 GMT 2025","27302","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"broken","Tue Aug 05 09:33:06 GMT 2025","Tue Aug 05 09:34:09 GMT 2025","62918","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"passed","Tue Aug 05 09:37:16 GMT 2025","Tue Aug 05 09:37:45 GMT 2025","29583","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"broken","Tue Aug 05 09:34:10 GMT 2025","Tue Aug 05 09:35:12 GMT 2025","62453","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"passed","Tue Aug 05 09:40:44 GMT 2025","Tue Aug 05 09:41:12 GMT 2025","27872","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"passed","Tue Aug 05 09:39:47 GMT 2025","Tue Aug 05 09:40:18 GMT 2025","30707","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Tue Aug 05 09:37:46 GMT 2025","Tue Aug 05 09:38:18 GMT 2025","32886","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Tue Aug 05 09:28:40 GMT 2025","Tue Aug 05 09:28:40 GMT 2025","520","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"broken","Tue Aug 05 09:35:13 GMT 2025","Tue Aug 05 09:36:16 GMT 2025","63904","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
